COMPANY,CIK,SIC
"@ROAD, INC",1109537,7373
1 800 CONTACTS INC,1050122,5961
1 800 FLOWERS COM INC,1084869,5990
1ST CENTENNIAL BANCORP,1097081,6022
1ST CONSTITUTION BANCORP,1141807,6035
"1ST INDEPENDENCE FINANCIAL GROUP, INC.",946738,6035
1ST SOURCE CORP,34782,6022
21ST CENTURY HOLDING CO,1069996,6331
21ST CENTURY INSURANCE GROUP,100331,6331
24/7 REAL MEDIA INC,1062195,7310
24HOLDINGS INC,1025315,5045
250 WEST 57TH ST ASSOCIATES,100412,6512
"2-Track Global, Inc.",1174290,3812
355 INC,1265848,9995
360 GLOBAL WINE CO,1124019,2080
3COM CORP,738076,3576
3D SYSTEMS CORP,910638,7372
3M CO,66740,3841
4 KIDS ENTERTAINMENT INC,58592,6794
4NET SOFTWARE INC,812149,7370
"51job, Inc.",1295484,7361
60 EAST 42ND STREET ASSOCIATES,90794,6512
649 COM INC,1098344,7900
724 SOLUTIONS INC,1097641,7372
8X8 INC /DE/,1023731,4813
99 CENT STUFF INC,1176435,5331
99 CENTS ONLY STORES,1011290,5331
A CONSULTING TEAM INC,1040792,7380
A J&J PHARMA CORP,1140452,9995
"A.C. Moore Arts & Crafts, Inc.",1042809,5945
A21 INC,1074436,7389
AAB NATIONAL CO,1321506,9995
AAMES INVESTMENT CORP,1282552,6798
Aames Mortgage Investment Trust 2004-1,1310737,6189
AAON INC,824142,3585
AAR CORP,1750,3720
AARON RENTS INC,706688,7359
AASTROM BIOSCIENCES INC,887359,8731
AAVID THERMAL TECHNOLOGIES INC,1003481,3679
"AB HOLDING GROUP, INC.",842289,3089
AB WATLEY GROUP INC,1035632,6211
ABATIX CORP,845779,5084
ABAXIS INC,881890,2835
ABAZIAS INC,1096208,9995
ABB LTD,1091587,8742
ABBEY NATIONAL PLC,1087711,6029
ABBOTT LABORATORIES,1800,2834
ABER DIAMOND CORP,841071,1000
ABERCROMBIE & FITCH CO /DE/,1018840,5651
ABFC ASSET-BACKED CERTIFICATES SERIES 2004-OPT1,1278400,6189
ABFC ASSET-BACKED CERTIFICATES SERIES 2004-OPT2,1285680,6189
"ABFC Asset-Backed Certificates, Series 2004-FF1",1299114,6189
"ABFC Asset-Backed Certificates, Series 2004-HE1",1301683,6189
ABIGAIL ADAMS NATIONAL BANCORP INC,356809,6021
"Abington Community Bancorp, Inc.",1292898,6036
ABIOMED INC,815094,3841
ABITIBI CONSOLIDATED INC,1039778,2621
ABLE ENERGY INC,1065728,5990
ABLE LABORATORIES INC,857171,2835
ABLEAUCTIONS COM INC,1099290,7389
ABLEST INC,46653,7363
ABM INDUSTRIES INC /DE/,771497,7340
ABN AMRO HOLDING N V,1038727,6099
ABN AMRO MORT CORP MULTI CLASS MORT PASS THR CERT SER 2003-3,1221052,6189
ABN AMRO MORT CORP MULTI CLASS MORT PASS THR CERT SER 2003-4,1224889,6189
ABN AMRO MORT SEC MULTI CLASS MORT PSTHR CERTS SER 2003-13,1274440,6189
ABN AMRO MORTGAGE CORP SERIES 2002-9,1209252,6189
ABN AMRO MORTGAGE MULTI-CLASS MOR PAS THR CER SER 2003-11,1265030,6189
ABRAXAS PETROLEUM CORP,867665,1311
"Abraxis BioScience, Inc.",1141399,2834
"ABSOLUTE POTENTIAL, INC.",1002360,2851
ABX AIR INC,894081,4513
ACACIA RESEARCH CORP,934549,3670
ACADIA PHARMACEUTICALS INC,1070494,2834
ACADIA REALTY TRUST,899629,6798
ACAMBIS PLC,1073965,2834
ACCELLENT CORP.,1297885,3841
ACCELR8 TECHNOLOGY CORP,727207,3826
"ACCELRYS, INC.",1002388,7372
ACCENTURE LTD,1134538,7389
ACCENTURE SCA,1143908,8742
ACCESS INTEGRATED TECHNOLOGIES INC,1173204,7389
ACCESS NATIONAL CORP,1176316,6035
ACCESS PHARMACEUTICALS INC,318306,2834
ACCESS WORLDWIDE COMMUNICATIONS INC,1048422,8742
ACCESSORY SPECIALISTS INC,1104198,9995
